,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
0,Acton,8.0,100.36,2020-05-07,2020-05-04,0.0,34.47,-118.1967
1,Adams-Normandie,32.0,390.15,2020-05-07,2020-05-04,3.0,34.0343,-118.2993
2,Agoura Hills,31.0,148.45,2020-05-07,2020-05-04,0.0,34.1364,-118.7745
3,Agua Dulce,2.0,48.1,2020-05-07,2020-05-04,1.0,,
4,Alhambra,106.0,122.23,2020-05-07,2020-05-04,19.0,34.0953,-118.12700000000001
5,Alsace,33.0,265.17,2020-05-07,2020-05-04,1.0,33.9786,-118.4156
6,Altadena,86.0,197.16,2020-05-07,2020-05-04,15.0,34.1902,-118.1313
7,Anaverde,1.0,66.31,2020-05-07,2020-05-04,0.0,,
8,Angeles National Forest,0.0,0.0,2020-05-07,2020-05-04,-1.0,,
9,Angelino Heights,10.0,399.68,2020-05-07,2020-05-04,1.0,34.0703,-118.2548
10,Arcadia,54.0,86.57,2020-05-07,2020-05-04,6.0,34.1397,-118.0353
11,Arleta,147.0,427.7,2020-05-07,2020-05-04,26.0,34.2419,-118.4256
12,Artesia,15.0,89.31,2020-05-07,2020-05-04,1.0,33.8658,-118.0831
13,Athens Village,16.0,326.73,2020-05-07,2020-05-04,4.0,33.92,-118.2812
14,Athens-Westmont,126.0,296.88,2020-05-07,2020-05-04,17.0,33.9238,-118.3019
15,Atwater Village,34.0,231.83,2020-05-07,2020-05-04,0.0,34.1173,-118.2614
16,Avalon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
17,Avocado Heights,14.0,206.64,2020-05-07,2020-05-04,1.0,34.0361,-117.9912
18,Azusa,122.0,191.85,2020-05-07,2020-05-04,21.0,34.1336,-117.9076
19,Baldwin Hills,77.0,247.39,2020-05-07,2020-05-04,12.0,34.0047,-118.3415
20,Baldwin Park,126.0,164.13,2020-05-07,2020-05-04,19.0,34.0853,-117.9609
21,Bandini Islands,0.0,,2020-05-07,2020-05-04,0.0,,
22,Bassett,33.0,222.72,2020-05-07,2020-05-04,2.0,34.0758,-118.3678
23,Bel Air,31.0,367.78,2020-05-07,2020-05-04,1.0,34.0833,-118.4487
24,Bell,144.0,396.34,2020-05-07,2020-05-04,7.0,33.9761,-118.1851
25,Bell Gardens,125.0,290.22,2020-05-07,2020-05-04,15.0,33.9653,-118.1515
26,Bellflower,162.0,208.4,2020-05-07,2020-05-04,20.0,33.88221,-118.118
27,Beverly Crest,33.0,263.47,2020-05-07,2020-05-04,0.0,34.1024,-118.4163
28,Beverly Hills,115.0,333.14,2020-05-07,2020-05-04,2.0,34.0736,-118.4004
29,Beverlywood,33.0,250.51,2020-05-07,2020-05-04,0.0,34.0409,-118.3919
30,Bouquet Canyon,0.0,0.0,2020-05-07,2020-05-04,0.0,,
31,Boyle Heights,271.0,311.91,2020-05-07,2020-05-04,35.0,34.0339,-118.2054
32,Bradbury,1.0,93.55,2020-05-07,2020-05-04,0.0,,
33,Brentwood,67.0,216.44,2020-05-07,2020-05-04,2.0,34.0519,-118.4731
34,Brookside,0.0,0.0,2020-05-07,2020-05-04,0.0,,
35,Burbank,288.0,268.71,2020-05-07,2020-05-04,28.0,34.1808,-118.309
36,Cadillac-Corning,21.0,294.9,2020-05-07,2020-05-04,1.0,34.040282,-118.38025
37,Calabasas,47.0,193.23,2020-05-07,2020-05-04,3.0,34.1383,-118.6608
38,Canoga Park,362.0,554.46,2020-05-07,2020-05-04,44.0,34.2011,-118.5981
